StudentID	Course	Section
22S5006	HE3038	A
20S5373	QL9127	A
20S5373	TB7363	A
23S6713	PB8866	A
23S4647	ZE7137	A
22S5006	FG5012	A
20S6607	HM9533	A
21S2865	VB6869	A
21S2865	XZ4200	A
23S4647	HI4031	A
21S2865	NF8700	A
23S6713	ZD5046	A
21S2865	IA9637	A
18S7140	GD3232	A
23S6713	DJ5442	A
20S5373	NF6113	A
21S4328	KB9592	A
21S2865	HY8097	A
23S4647	KY7116	A
21S4328	OA1924	A
21S2523	YQ1346	A
20S5373	SG8335	A
18S7140	WC1447	A
23S6713	OA2651	A
23S4647	LB8862	A
23S6713	CZ7791	A
21S2523	OJ3384	A
18S7140	BP6801	A
21S4328	IR1277	A
20S6607	RX1312	A
21S2865	NR2215	A
23S6713	YU6424	A
23S6713	LC2710	A
18S7140	LU3423	A
22S5006	KW5945	A
21S2523	WC6941	A
21S2865	PC1416	A
20S5373	RB1015	A
23S4647	CO1531	A
20S5373	HE3038	B
20S5373	QL9127	B
20S6607	TB7363	B
20S5373	PB8866	B
22S5006	ZE7137	B
23S4647	FG5012	B
23S4647	HM9533	B
21S4328	VB6869	B
18S7140	XZ4200	B
22S5006	HI4031	B
23S6713	HE3038	A
21S2523	TB7363	A
22S5006	PB8866	A
20S5373	ZE7137	A
23S6713	FG5012	A
23S6713	HM9533	A
18S7140	VB6869	A
23S4647	XZ4200	A
18S7140	HI4031	A
20S6607	NF8700	A
18S7140	ZD5046	A
20S5373	IA9637	A
21S2865	GD3232	A
21S2865	DJ5442	A
21S2865	NF6113	A
18S7140	KB9592	A
21S2523	HY8097	A
23S6713	OA1924	A
23S6713	YQ1346	A
21S2865	SG8335	A
23S4647	WC1447	A
21S2523	LB8862	A